# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
1e-10 inf inf inf
1.3848863713938747e-10 inf inf inf
1.9179102616724848e-10 inf inf inf
2.656087782946684e-10 inf inf inf
3.6783797718286343e-10 inf inf inf
5.094138014816385e-10 inf inf inf
7.054802310718631e-10 inf inf inf
9.770099572992246e-10 inf inf inf
1.3530477745798075e-09 inf inf inf
1.873817422860387e-09 inf inf inf
2.595024211399732e-09 inf inf inf
3.5938136638046257e-09 inf inf inf
4.977023564332114e-09 inf inf inf
6.892612104349681e-09 inf inf inf
9.545484566618328e-09 inf inf inf
1.3219411484660288e-08 inf inf inf
1.8307382802953696e-08 inf inf inf
2.5353644939701113e-08 inf inf inf
3.5111917342151277e-08 inf inf inf
4.8626015800653535e-08 inf inf inf
6.734150657750828e-08 inf inf inf
9.3260334688322e-08 inf inf inf
1.2915496650148827e-07 inf inf inf
1.7886495290574352e-07 inf inf inf
2.4770763559917087e-07 inf inf inf
3.430469286314912e-07 inf inf inf
4.7508101621027934e-07 inf inf inf
6.579332246575682e-07 inf inf inf
9.111627561154887e-07 inf inf inf
1.261856883066021e-06 inf inf inf
1.747528400007683e-06 inf inf inf
2.4201282647943835e-06 inf inf inf
3.3516026509388406e-06 inf inf inf
4.641588833612773e-06 inf inf inf
6.4280731172843194e-06 inf inf inf
8.902150854450375e-06 inf inf inf
1.2328467394420658e-05 inf inf inf
1.7073526474706886e-05 inf inf inf
2.3644894126454072e-05 inf inf inf
3.274549162877725e-05 inf inf inf
4.534878508128582e-05 inf inf inf
6.280291441834246e-05 inf inf inf
8.697490026177834e-05 inf inf inf
0.00012045035402587811 inf inf inf
0.0001668100537200059 inf inf inf
0.0002310129700083158 inf inf inf
0.00031992671377973844 inf inf inf
0.00044306214575838776 8.957194545862939e-32 1.0299480064853193e-31 6.0231241017351164e-30
0.0006135907273413163 1.090655812117614e-33 1.3781703177138555e-33 1.897955813248139e-31
0.0008497534359086438 1.3815264906724338e-34 2.0830495462987995e-34 7.297051444642737e-32
0.0011768119524349966 3.906889408831382e-35 7.868678245088545e-35 6.405572195168345e-32
0.0016297508346206436 1.6917865300324252e-35 5.295424359404423e-35 8.773039262163041e-32
0.002257019719633917 9.255023596507825e-36 5.369427301965024e-35 1.560047524539274e-31
0.0031257158496882354 5.757141723086827e-36 7.372790813444141e-35 3.2492658284361653e-31
